geneID,DFB,DFB,Fe,Fe
Ga0401699_0003388_11119_11478,28,24,2,3
Ga0401699_0003388_211_1380,179,219,10,1
Ga0401699_0003388_3297_4067,20,13,0,0
Ga0401699_0003388_4100_4678,25,35,1,0
Ga0401699_0003388_5300_6604,191,213,4,9
Ga0401699_0003388_6680_8260,713,675,26,18
Ga0401699_0003388_8744_9550,147,194,13,1
Ga0401699_0003388_9817_11028,78,118,5,1
Ga0401699_0003462_10552_10917,0,1,59,49
Ga0401699_0003462_3955_4326,3,2,57,60
Ga0401699_0003462_4439_5377,5,4,122,79
Ga0401699_0003462_6270_7538,6,10,169,142
Ga0401699_0003462_652_975,18,28,205,234
Ga0401699_0003462_8608_9144,9,8,72,66
Ga0401699_0003462_9161_9604,2,6,99,58
Ga0401699_0003462_9589_10305,5,4,108,99
Ga0401699_0003462_988_2217,14,6,172,182
Ga0401699_0003587_57_11549,78,58,0,0
Ga0401699_0003760_3_11273,60,23,0,0
Ga0401699_0003799_10405_10965,17,45,2,2
Ga0401699_0003799_106_1476,638,705,30,39
Ga0401699_0003799_1790_3478,346,404,59,27
Ga0401699_0003799_5316_5543,196,216,28,37
Ga0401699_0003799_5823_6434,123,126,15,14
Ga0401699_0003799_6446_8476,537,574,72,79
Ga0401699_0003799_8498_9487,172,234,42,30
Ga0401699_0003944_1_11172,43,41,3,9
Ga0401699_0003948_190_10176,314,261,32,21
Ga0401699_0003969_2_11179,72,75,10,9
Ga0401699_0003988_3_10973,85,37,15,3
Ga0401699_0004080_4150_11043,34,35,2,0
Ga0401699_0004127_3_2051,118,122,4,8
Ga0401699_0004127_3282_4793,20,31,0,5
Ga0401699_0004127_4817_6253,45,74,0,0
Ga0401699_0004127_7513_8520,31,61,0,0
Ga0401699_0004127_8522_10612,141,193,2,1
Ga0401699_0004156_3_10778,58,57,9,4
Ga0401699_0004159_9879_10442,10,3,0,0
Ga0401699_0004176_3720_5027,1669,1923,616,604
Ga0401699_0004216_42_10949,96,68,9,10
Ga0401699_0004326_29_10813,116,65,1,3
Ga0401699_0004552_67_9780,62,54,9,1
Ga0401699_0004585_1_10473,37,26,1,3
Ga0401699_0004646_4083_10451,48,18,3,1
Ga0401699_0004709_137_10390,98,71,3,8
Ga0401699_0004713_2_10069,143,91,18,13
Ga0401699_0004714_637_2727,16,24,6,2
Ga0401699_0004747_2501_2686,42,29,97,101
Ga0401699_0004747_3144_4427,10,27,250,217
Ga0401699_0004747_5060_5743,16,19,291,265
Ga0401699_0004747_5803_9417,4,6,70,68
Ga0401699_0004811_58_10164,94,68,19,19
Ga0401699_0004822_1_10005,33,24,2,3
Ga0401699_0004827_35_9784,38,25,1,0
Ga0401699_0004854_6553_8091,1150,906,97,93
Ga0401699_0004854_8121_8930,430,327,38,31
Ga0401699_0004854_8946_9704,168,165,23,26
Ga0401699_0004868_168_10058,79,45,3,2
Ga0401699_0005139_1696_2070,28,21,550,473
Ga0401699_0005139_2095_2925,80,91,1140,1022
Ga0401699_0005139_2935_3213,7,13,385,349
Ga0401699_0005139_3241_3591,29,30,651,553
Ga0401699_0005139_3612_4256,32,34,1109,1010
Ga0401699_0005139_4340_4702,14,9,512,465
Ga0401699_0005139_4713_4949,6,21,372,353
Ga0401699_0005139_4958_5323,31,25,633,511
Ga0401699_0005139_5341_5640,14,16,536,487
Ga0401699_0005139_5645_6193,27,34,879,784
Ga0401699_0005235_2_9946,51,32,2,0
Ga0401699_0005255_1306_1494,247,304,869,864
Ga0401699_0005255_6938_8038,134,77,227,272
Ga0401699_0005255_8118_8501,42,33,72,82
Ga0401699_0005278_5196_9659,15,13,2,0
Ga0401699_0005451_3_9713,103,39,9,9
Ga0401699_0005466_241_9810,157,64,2,0
Ga0401699_0005680_228_9668,110,63,5,5
Ga0401699_0005692_8_9616,51,24,1,0
Ga0401699_0005752_3_8918,95,33,4,3
Ga0401699_0005785_1_9567,49,26,1,0
Ga0401699_0005815_32_9460,104,37,0,2
Ga0401699_0005953_2_9478,38,30,0,0
Ga0401699_0006040_1025_1495,26,29,3,4
Ga0401699_0006040_1511_1885,46,52,12,5
Ga0401699_0006040_1980_3563,659,902,120,109
Ga0401699_0006040_3934_5061,354,540,68,55
Ga0401699_0006040_508_1050,49,73,7,11
Ga0401699_0006040_8118_8345,66,161,22,8
Ga0401699_0006057_1933_2403,48,56,875,744
Ga0401699_0006057_2442_2816,51,39,633,567
Ga0401699_0006057_2834_3046,17,25,276,220
Ga0401699_0006057_3078_3497,29,37,635,513
Ga0401699_0006057_312_635,26,37,510,381
Ga0401699_0006057_3502_3924,33,69,755,692
Ga0401699_0006057_3937_4854,130,142,2031,1687
Ga0401699_0006057_4872_5261,50,59,795,576
Ga0401699_0006057_5292_5642,73,91,1291,954
Ga0401699_0006057_5852_7084,52,82,1537,1353
Ga0401699_0006057_652_1881,199,180,2357,1970
Ga0401699_0006057_7629_8168,30,26,677,599
Ga0401699_0006062_8069_8539,63,51,344,245
Ga0401699_0006070_2215_2604,20,12,0,0
Ga0401699_0006070_2607_2978,9,19,0,0
