Gene,2.5nM_DFB_A,2.5nM_DFB_B,2.5nM_Fe_A,2.5nM_Fe_B
Ga0401699_0000400_8528_8932,30.56095593,64.71562927,423.4593623,382.6635
Ga0401699_0000400_8980_9534,42.44577213,77.65875513,540.7690505,498.752427
Ga0401699_0000400_9563_9931,17.8272243,34.51500228,243.2030121,239.0571978
Ga0401699_0000417_235_23499,297.9693204,328.9711155,55.07832922,61.05417641
Ga0401699_0000420_290_23452,217.3223533,232.9762654,39.34166373,14.61860562
Ga0401699_0000432_16938_17624,84.04262882,184.4395434,695.2744935,607.1020922
Ga0401699_0000432_17765_18301,54.33058833,136.9814153,452.0714814,391.2626798
Ga0401699_0000432_18397_19302,115.4525002,160.7104794,530.0395059,577.8648809
Ga0401699_0000448_197_22789,150.2580333,71.1871922,0.715302977,0.859917978
Ga0401699_0000451_2531_5971,6.791323541,5.392969106,89.41287211,67.07360225
Ga0401699_0000457_17498_20746,21.22288607,43.14375285,92.27408402,65.3537663
Ga0401699_0000457_2474_3145,37.35227948,56.0868787,226.7510437,203.8005607
Ga0401699_0000476_106_3894,23.76963239,25.88625171,1.430605954,3.43967191
Ga0401699_0000476_3944_22351,112.9057539,112.1737574,12.16015061,13.75868764
Ga0401699_0000500_2409_2789,1.697830885,9.707344391,60.80075304,57.6145045
Ga0401699_0000518_2_21568,113.7546693,100.3092254,0,0.859917978
Ga0401699_0000521_26_21778,94.22961413,71.1871922,0.715302977,0.859917978
Ga0401699_0000534_2_21496,179.1211584,121.8811018,12.87545358,16.33844157
Ga0401699_0000540_115_10512,39.8990258,19.41468878,2.145908931,3.43967191
Ga0401699_0000560_11272_13419,24.61854784,65.7942231,97.99650783,104.0500753
Ga0401699_0000582_11_20518,420.2131441,345.1500228,37.91105778,37.83639101
Ga0401699_0000589_17_20803,153.6536951,97.07344391,6.437726792,17.19835955
Ga0401699_0000594_1139_20674,133.2797245,128.3526647,15.02136251,7.739261798
Ga0401699_0000678_159_19598,53.48167289,33.43640846,5.007120838,0
Ga0401699_0000690_16281_16772,43.29468757,62.55844163,243.2030121,224.4385921
Ga0401699_0000690_2854_3267,8.489154426,15.1003135,147.3524132,104.9099933
Ga0401699_0000690_5457_6719,36.50336403,42.06515903,349.7831557,367.1849764
Ga0401699_0000690_7240_7782,22.92071695,14.02171968,216.736802,193.481545
Ga0401699_0000733_13_18981,162.1428495,101.3878192,8.583635723,6.879343821
Ga0401699_0000801_126_18653,134.1286399,119.7239142,1.430605954,7.739261798
Ga0401699_0000848_19_18303,112.0568384,72.26578602,0,0
Ga0401699_0000879_11061_18158,21.22288607,36.67218992,2.145908931,2.579753933
Ga0401699_0000887_31_17871,204.5886217,161.7890732,25.75090717,12.89876966
Ga0401699_0000909_2820_17780,68.76215085,74.42297367,6.437726792,10.31901573
Ga0401699_0000940_16881_17798,17.8272243,14.02171968,126.6086269,89.43146967
Ga0401699_0000970_1_17592,147.711287,101.3878192,2.861211908,3.43967191
